Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
05:53.8,47.83801899,,01:12.0,0.736586447,0.705007556,,51.27646817
05:54.8,47.51476912,,01:13.0,0.413336582,0.705007556,,30.45138864
05:55.8,47.51948329,,01:14.0,0.41805075,0.705007556,,26.06900413
05:56.8,47.51154677,,01:15.0,0.410114229,0.705007556,,36.02314281
05:57.8,47.5163604,,01:16.0,0.414927863,0.705007556,,33.39836744
05:58.8,47.50949797,,01:17.0,0.408065436,0.705007556,,28.55491317
05:59.8,47.51602226,,01:18.0,0.414589723,0.705007556,,40.02629689
06:00.8,47.52399857,,01:19.0,0.422566035,0.705007556,,29.23313104
06:01.8,47.52634572,,01:20.0,0.424913177,0.705007556,,32.70823683
06:02.8,47.51580345,,01:21.0,0.414370908,0.705007556,,41.29017976
06:03.8,47.53163675,,01:22.0,0.430204207,0.705007556,,36.10389262
06:04.8,47.51224295,,01:23.0,0.410810416,0.705007556,,34.37622615
06:05.8,47.51256121,,01:24.0,0.411128672,0.705007556,,32.07886305
06:06.8,47.51998057,,01:25.0,0.41854803,0.705007556,,32.51234669
06:07.8,47.51616149,,01:26.0,0.414728955,0.705007556,,34.25899148
06:08.8,47.5195032,,01:27.0,0.418070657,0.705007556,,31.81659043
06:09.8,47.51486856,,01:28.0,0.413436024,0.705007556,,36.17035604
06:10.8,47.51661898,,01:29.0,0.415186444,0.705007556,,38.87867621
06:11.8,47.51498791,,01:30.0,0.413555373,0.705007556,,34.66250708
06:12.8,47.51534596,,01:31.0,0.41391342,0.705007556,,34.44018648
06:13.8,47.50615627,,01:32.0,0.404723734,0.705007556,,35.03212918
06:14.8,47.50024864,,01:33.0,0.398816099,0.705007556,,35.39526591
06:15.8,47.59469145,,01:34.0,0.493258913,0.705007556,,47.87823409
06:16.8,47.60350321,,01:35.0,0.502070668,0.705007556,,33.9947006
06:17.8,47.60069855,,01:36.0,0.499266014,0.705007556,,31.87014209
06:18.8,47.62106702,,01:37.0,0.519634481,0.705007556,,41.03631564
06:19.8,47.60268767,,01:38.0,0.501255132,0.705007556,,42.13012889
06:20.8,47.6062084,,01:39.0,0.504775858,0.705007556,,30.83539975
06:21.8,47.58798816,,01:40.0,0.486555626,0.705007556,,38.34680621
06:22.8,47.58912196,,01:41.0,0.487689418,0.705007556,,42.09477504
06:23.8,47.60061899,,01:42.0,0.499186455,0.705007556,,33.54389835
06:24.8,47.59562634,,01:43.0,0.494193798,0.705007556,,30.86448241
06:25.8,47.5917078,,01:44.0,0.490275258,0.705007556,,42.49299698
