Time,RAM,CPU,,Time,RAM,AVG: 0.497783455915522,MIN
00:14.1,45.33537839, ,,0:00:00,0.375250611,0.497783456,44.96012778
00:15.1,45.21672045,28.17291978,,0:00:01,0.256592664,0.497783456,
00:16.1,45.22009281,25.6622394,,0:00:02,0.25996503,0.497783456,
00:17.1,45.3250947,31.78224537,,0:00:03,0.364966923,0.497783456,
00:18.1,45.32401223,43.06953971,,0:00:04,0.363884447,0.497783456,
00:19.1,45.33485797,43.70522301,,0:00:05,0.374730188,0.497783456,
00:20.1,45.33117333,41.87579447,,0:00:06,0.371045549,0.497783456,
00:21.1,45.32782176,42.57658551,,0:00:07,0.367693976,0.497783456,
00:22.1,45.32561515,42.40872142,,0:00:08,0.36548737,0.497783456,
00:23.1,45.32598985,41.68431574,,0:00:09,0.365862064,0.497783456,
00:24.1,45.32867527,40.51700216,,0:00:10,0.368547486,0.497783456,
00:25.1,45.33304687,41.55135401,,0:00:11,0.372919091,0.497783456,
00:26.1,45.33034064,40.21888428,,0:00:12,0.370212854,0.497783456,
00:27.1,45.32852954,41.60054376,,0:00:13,0.368401758,0.497783456,
00:28.1,45.3214517,40.62152731,,0:00:14,0.361323916,0.497783456,
00:29.1,45.31912018,41.724455,,0:00:15,0.358992396,0.497783456,
00:30.1,45.31506082,40.74606509,,0:00:16,0.35493304,0.497783456,
00:31.1,45.30796216,40.44181955,,0:00:17,0.347834383,0.497783456,
00:32.1,45.3141865,41.06681006,,0:00:18,0.354058715,0.497783456,
00:33.1,45.31528981,41.02810551,,0:00:19,0.355162029,0.497783456,
00:34.1,45.30975245,40.86217263,,0:00:20,0.349624665,0.497783456,
00:35.1,45.31046023,40.65511534,,0:00:21,0.350332446,0.497783456,
00:36.1,45.31266686,40.98130662,,0:00:22,0.352539076,0.497783456,
00:37.1,45.31630986,39.87444643,,0:00:23,0.356182084,0.497783456,
00:38.1,45.32349178,41.34892997,,0:00:24,0.363364001,0.497783456,
00:39.1,45.31593515,40.3559058,,0:00:25,0.355807366,0.497783456,
00:40.1,45.31366607,41.0048228,,0:00:26,0.353538292,0.497783456,
00:41.1,45.22167492,45.22405272,,0:00:27,0.261547137,0.497783456,
00:42.1,45.21509668,48.1937585,,0:00:28,0.254968903,0.497783456,
00:43.1,45.21197412,44.43707393,,0:00:29,0.251846341,0.497783456,
00:44.1,45.21886461,45.45532352,,0:00:30,0.258736825,0.497783456,
00:45.1,45.2182609,44.34993327,,0:00:31,0.258133118,0.497783456,
00:46.1,45.241139,41.89993703,,0:00:32,0.28101122,0.497783456,
00:47.1,45.23506038,41.32728211,,0:00:33,0.274932594,0.497783456,
00:48.1,45.23345745,40.64235027,,0:00:34,0.273329672,0.497783456,
00:49.1,45.22981444,41.17515068,,0:00:35,0.269686664,0.497783456,
00:50.1,45.23299948,41.15988598,,0:00:36,0.272871694,0.497783456,
00:51.1,45.25947893,41.78266922,,0:00:37,0.29935115,0.497783456,
00:52.1,45.25960385,40.34938168,,0:00:38,0.299476064,0.497783456,
00:53.1,45.23383217,47.48052101,,0:00:39,0.273704389,0.497783456,
00:54.1,45.23291621,43.32243978,,0:00:40,0.272788433,0.497783456,
00:55.1,45.22779517,44.1592505,,0:00:41,0.267667393,0.497783456,
00:56.1,45.50472622,53.16176602,,0:00:42,0.544598443,0.497783456,
00:57.1,45.57390172,62.96454292,,0:00:43,0.61377394,0.497783456,
00:58.1,45.22388155,44.32877425,,0:00:44,0.263753766,0.497783456,
00:59.1,45.21590856,40.76874815,,0:00:45,0.255780784,0.497783456,
01:00.1,45.22671268,40.48193354,,0:00:46,0.266584894,0.497783456,
01:01.1,45.23110512,41.01049879,,0:00:47,0.270977337,0.497783456,
01:02.1,45.22506812,43.11590999,,0:00:48,0.264940341,0.497783456,
01:03.1,45.22704576,40.07270793,,0:00:49,0.266917981,0.497783456,
01:04.1,45.23291621,40.67409181,,0:00:50,0.272788433,0.497783456,
01:05.1,45.23027242,40.65921147,,0:00:51,0.270144641,0.497783456,
01:06.1,45.27307256,41.07035636,,0:00:52,0.312944781,0.497783456,
