,ORIGINAL,,,,1TS,,,7TS,,,25TS,,,100TS,,,FINAL,
Time,RAM,AVG,,Time,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG
01:37.0,27.62725317,26.56918,,01:37.0,0.469230488,0.261943534,,0.519634481,0.705007556,,0.14844737,0.497783456,,0.72416747,0.686320151,,,
01:38.0,27.63530904,26.56918,,01:38.0,0.468414952,0.261943534,,0.501255132,0.705007556,,0.144596188,0.497783456,,0.655137678,0.686320151,,,
01:39.0,27.61591525,26.56918,,01:39.0,0.482895644,0.261943534,,0.504775858,0.705007556,,0.147947762,0.497783456,,0.672166143,0.686320151,,,
01:40.0,27.61330952,26.56918,,01:40.0,0.469429395,0.261943534,,0.486555626,0.705007556,,0.150133553,0.497783456,,0.67801578,0.686320151,,,
01:41.0,27.60081792,26.56918,,01:41.0,0.461035362,0.261943534,,0.487689418,0.705007556,,0.13683138,0.497783456,,0.721003255,0.686320151,,,
01:42.0,27.61663132,26.56918,,01:42.0,0.449697441,0.261943534,,0.499186455,0.705007556,,0.517390366,0.497783456,,0.754081784,0.686320151,,,
01:43.0,27.61575611,26.56918,,01:43.0,0.469210604,0.261943534,,0.494193798,0.705007556,,0.195619115,0.497783456,,0.752395578,0.686320151,,,
01:44.0,27.61762588,26.56918,,01:44.0,0.479991548,0.261943534,,0.490275258,0.705007556,,0.18294144,0.497783456,,0.680139125,0.686320151,,,
01:45.0,27.60324462,26.56918,,01:45.0,0.486177672,0.261943534,,0.500439596,0.705007556,,0.187666947,0.497783456,,0.86628641,0.686320151,,,
01:46.0,27.5993062,26.56918,,01:46.0,0.485461601,0.261943534,,0.501951319,0.705007556,,0.197846559,0.497783456,,1.147859684,0.686320151,,,
01:47.0,27.61529862,26.56918,,01:47.0,0.47653052,0.261943534,,0.389427506,0.705007556,,0.204341509,0.497783456,,0.73368093,0.686320151,,,
01:48.0,27.58367181,26.56918,,01:48.0,0.564588304,0.261943534,,0.40436571,0.705007556,,0.18891599,0.497783456,,0.742174336,0.686320151,,,
01:49.0,27.58309497,26.56918,,01:49.0,0.563752884,0.261943534,,0.389168924,0.705007556,,0.194453355,0.497783456,,0.73919748,0.686320151,,,
01:50.0,27.58554158,26.56918,,01:50.0,0.56198258,0.261943534,,0.382226938,0.705007556,,0.175176631,0.497783456,,0.741695543,0.686320151,,,
01:51.0,27.59751599,26.56918,,01:51.0,0.566915563,0.261943534,,0.388373272,0.705007556,,0.1861681,0.497783456,,0.699519925,0.686320151,,,
01:52.0,27.59433343,26.56918,,01:52.0,0.576264365,0.261943534,,0.372619531,0.705007556,,0.237607374,0.497783456,,0.746108801,0.686320151,,,
01:53.0,27.58406962,26.56918,,01:53.0,0.581734418,0.261943534,,0.366433407,0.705007556,,0.23090425,0.497783456,,0.700602424,0.686320151,,,
01:54.0,27.60913238,26.56918,,01:54.0,0.581615069,0.261943534,,0.376060698,0.705007556,,0.238086167,0.497783456,,0.714320946,0.686320151,,,
01:55.0,27.65977507,26.56918,,01:55.0,0.585533609,0.261943534,,0.338943955,0.705007556,,0.235858746,0.497783456,,0.723771961,0.686320151,,,
01:56.0,27.70922429,26.56918,,01:56.0,0.583405257,0.261943534,,0.340793817,0.705007556,,0.236649788,0.497783456,,0.745463465,0.686320151,,,
01:57.0,27.71724039,26.56918,,01:57.0,0.577676646,0.261943534,,0.345448335,0.705007556,,0.224076212,0.497783456,,0.735596102,0.686320151,,,
01:58.0,27.70365477,26.56918,,01:58.0,0.507282117,0.261943534,,0.338128419,0.705007556,,0.235504843,0.497783456,,0.727872946,0.686320151,,,
01:59.0,27.70268012,26.56918,,01:59.0,0.515656266,0.261943534,,0.337432232,0.705007556,,0.225804024,0.497783456,,0.73565857,0.686320151,,,
02:00.0,27.71883168,26.56918,,02:00.0,0.38779641,0.261943534,,0.334647484,0.705007556,,0.225117058,0.497783456,,0.700186077,0.686320151,,,
02:01.0,27.68493728,26.56918,,02:01.0,0.396389375,0.261943534,,0.326472242,0.705007556,,0.231903466,0.497783456,,0.726478174,0.686320151,,,
02:02.0,27.68861713,26.56918,,02:02.0,0.413535466,0.261943534,,0.33629844,0.705007556,,0.222514919,0.497783456,,0.719150528,0.686320151,,,
02:03.0,27.6755089,26.56918,,02:03.0,0.453715446,0.261943534,,0.328680151,0.705007556,,0.206881203,0.497783456,,0.763241342,0.686320151,,,
02:04.0,27.68151602,26.56918,,02:04.0,0.466704322,0.261943534,,0.3263728,0.705007556,,0.211627525,0.497783456,,0.635965052,0.686320151,,,
02:05.0,27.71011939,26.56918,,02:05.0,0.475754752,0.261943534,,0.325656706,0.705007556,,0.207443279,0.497783456,,0.603323709,0.686320151,,,
02:06.0,27.69223732,26.56918,,02:06.0,0.469807326,0.261943534,,0.321041979,0.705007556,,0.208609039,0.497783456,,0.645187078,0.686320151,,,
02:07.0,27.71093492,26.56918,,02:07.0,0.469628302,0.261943534,,0.32979406,0.705007556,,0.214000698,0.497783456,,0.637422246,0.686320151,,,
02:08.0,27.71155155,26.56918,,02:08.0,0.361659541,0.261943534,,0.328898965,0.705007556,,0.210940559,0.497783456,,0.638088398,0.686320151,,,
02:09.0,27.71071611,26.56918,,02:09.0,0.376677304,0.261943534,,0.323389121,0.705007556,,0.218642922,0.497783456,,0.63319637,0.686320151,,,
02:10.0,27.69150134,26.56918,,02:10.0,0.372062577,0.261943534,,0.334766833,0.705007556,,0.212855754,0.497783456,,0.622017542,0.686320151,,,
02:11.0,27.68662803,26.56918,,02:11.0,0.416857284,0.261943534,,0.651571993,0.705007556,,0.213438622,0.497783456,,0.6034486,0.686320151,,,
02:12.0,27.99822174,26.56918,,02:12.0,0.442894711,0.261943534,,0.328202779,0.705007556,,0.219996041,0.497783456,,0.630948111,0.686320151,,,
02:13.0,27.69577793,26.56918,,02:13.0,0.471438398,0.261943534,,0.339202536,0.705007556,,0.243706815,0.497783456,,0.597536517,0.686320151,,,
02:14.0,27.69599672,26.56918,,02:14.0,0.473546842,0.261943534,,0.337273092,0.705007556,,0.220516464,0.497783456,,0.619623554,0.686320151,,,
02:15.0,27.69532041,26.56918,,02:15.0,0.474541402,0.261943534,,0.324363797,0.705007556,,0.219163345,0.497783456,,0.626680581,0.686320151,,,
02:16.0,27.67660293,26.56918,,02:16.0,0.478698639,0.261943534,,0.326571707,0.705007556,,0.235837931,0.497783456,,0.650620344,0.686320151,,,
02:17.0,27.68722475,26.56918,,02:17.0,0.787010323,0.261943534,,0.33458781,0.705007556,,0.217726966,0.497783456,,0.659446838,0.686320151,,,
02:18.0,27.68221221,26.56918,,02:18.0,0.477664312,0.261943534,,0.316029438,0.705007556,,0.22461745,0.497783456,,0.658197818,0.686320151,,,
02:19.0,27.67857214,26.56918,,02:19.0,0.468593976,0.261943534,,0.289176474,0.705007556,,0.235150941,0.497783456,,0.657573296,0.686320151,,,
02:20.0,27.66894485,26.56918,,02:20.0,0.471040583,0.261943534,,0.292518176,0.705007556,,0.215374632,0.497783456,,0.637859409,0.686320151,,,
02:21.0,27.67529011,26.56918,,02:21.0,0.470583071,0.261943534,,0.313383923,0.705007556,,0.217019185,0.497783456,,0.672270218,0.686320151,,,
02:22.0,27.66246037,26.56918,,02:22.0,0.468912232,0.261943534,,0.313861296,0.705007556,,0.228926609,0.497783456,,1.016128529,0.686320151,,,
02:23.0,27.68225198,26.56918,,02:23.0,0.448384648,0.261943534,,0.307237567,0.705007556,,0.230009109,0.497783456,,1.020271145,0.686320151,,,
02:24.0,27.66956147,26.56918,,02:24.0,0.416797609,0.261943534,,0.318575488,0.705007556,,0.276410626,0.497783456,,1.025392162,0.686320151,,,
02:25.0,27.66604075,26.56918,,02:25.0,0.38950704,0.261943534,,0.309763732,0.705007556,,0.268500089,0.497783456,,1.006094646,0.686320151,,,
02:26.0,27.6616846,26.56918,,02:26.0,0.371724437,0.261943534,,0.310957199,0.705007556,,0.273725204,0.497783456,,1.0630921,0.686320151,,,
02:27.0,27.7954521,26.56918,,02:27.0,0.350421085,0.261943534,,0.311514153,0.705007556,,0.282426784,0.497783456,,0.635673618,0.686320151,,,
02:28.0,27.80492025,26.56918,,02:28.0,0.356129836,0.261943534,,0.28740617,0.705007556,,0.277035125,0.497783456,,0.668273331,0.686320151,,,
02:29.0,27.82009715,26.56918,,02:29.0,0.353424647,0.261943534,,0.290529057,0.705007556,,0.276181637,0.497783456,,0.659134588,0.686320151,,,
02:30.0,27.81987834,26.56918,,02:30.0,0.335482881,0.261943534,,0.299460162,0.705007556,,0.268208655,0.497783456,,0.70901257,0.686320151,,,
02:31.0,27.82455274,26.56918,,02:31.0,0.311553921,0.261943534,,0.289017358,0.705007556,,0.239626644,0.497783456,,0.734180538,0.686320151,,,
02:32.0,27.82455274,26.56918,,02:32.0,0.304074888,0.261943534,,0.298067788,0.705007556,,0.241396111,0.497783456,,0.783579727,0.686320151,,,
02:33.0,27.85176375,26.56918,,02:33.0,0.260016136,0.261943534,,0.300275697,0.705007556,,0.241999817,0.497783456,,0.957944477,0.686320151,,,
,,,,02:34.0,0.248200842,0.261943534,,0.30296098,0.705007556,,0.245871814,0.497783456,,1.00526195,0.686320151,,,
,,,,02:35.0,0.182281807,0.261943534,,0.250448543,0.705007556,,0.241500186,0.497783456,,1.035113796,0.686320151,,,
,,,,02:36.0,0.131460116,0.261943534,,0.266480749,0.705007556,,0.246038335,0.497783456,,1.057013474,0.686320151,,,
,,,,02:37.0,0.084377942,0.261943534,,0.279668532,0.705007556,,0.243810914,0.497783456,,1.047104504,0.686320151,,,
,,,,02:38.0,0.054441858,0.261943534,,0,0.705007556,,0.249389908,0.497783456,,1.052850043,0.686320151,,,
,,,,02:39.0,0.045093056,0.261943534,,0.02442624,0.705007556,,0.254510925,0.497783456,,1.036695903,0.686320151,,,
,,,,02:40.0,0.021780725,0.261943534,,0.034670159,0.705007556,,0.16118749,0.497783456,,1.038756804,0.686320151,,,
,,,,02:41.0,0.024664938,0.261943534,,0.05181625,0.705007556,,0.154484343,0.497783456,,1.033614972,0.686320151,,,
,,,,02:42.0,0.015276344,0.261943534,,0.061264518,0.705007556,,0.440554135,0.497783456,,1.010070718,0.686320151,,,
,,,,02:43.0,0.011019642,0.261943534,,0.103672291,0.705007556,,0.521012559,0.497783456,,1.031720592,0.686320151,,,
,,,,02:44.0,0.023352122,0.261943534,,0.092592975,0.705007556,,0.172636937,0.497783456,,1.056180801,0.686320151,,,
,,,,02:45.0,0.009309012,0.261943534,,0.104408269,0.705007556,,0.158189819,0.497783456,,1.05999033,0.686320151,,,
,,,,02:46.0,0.024028402,0.261943534,,0.113856536,0.705007556,,0.171762612,0.497783456,,0.923450408,0.686320151,,,
,,,,02:47.0,0.022795168,0.261943534,,0.100151566,0.705007556,,0.186022394,0.497783456,,0.672228588,0.686320151,,,
,,,,02:48.0,0.023968751,0.261943534,,0.111986767,0.705007556,,0.179943768,0.497783456,,0.14009967,0.686320151,,,
